postcode,subzone,district
269187,406.0,10
269196,406.0,10
269197,406.0,10
269203,406.0,10
269258,406.0,10
269263,406.0,10
269585,406.0,10
269878,407.0,10
270001,901.0,10
270002,901.0,10
270003,901.0,10
270004,901.0,10
270005,901.0,10
270006,901.0,10
270007,901.0,10
270008,901.0,10
270013,901.0,10
270014,901.0,10
270015,901.0,10
270016,901.0,10
270017,901.0,10
270018,901.0,10
270019,901.0,10
270021,901.0,10
270026,901.0,10
270027,901.0,10
270028,901.0,10
270030,901.0,10
270031,901.0,10
270032,901.0,10
270040,901.0,10
270041,901.0,10
270042,901.0,10
270043,901.0,10
270045,901.0,10
270046,901.0,10
270047,901.0,10
271001,902.0,10
271002,902.0,10
271003,902.0,10
271004,902.0,10
271006,902.0,10
271008,902.0,10
271010,902.0,10
271011,902.0,10
271013,902.0,10
271020,902.0,10
271021,902.0,10
271022,902.0,10
271023,902.0,10
271030,902.0,10
272003,902.0,10
272005,902.0,10
272009,902.0,10
272012,902.0,10
272018,902.0,10
273018,902.0,10
274018,902.0,10
275018,902.0,10
275860,403.0,10
275958,403.0,10
276163,403.0,10
276186,403.0,10
276308,403.0,10
276310,403.0,10
276342,403.0,10
276484,406.0,10
276641,403.0,10
276692,403.0,10
276693,403.0,10
276694,403.0,10
276697,403.0,10
276750,407.0,10
276923,404.0,10
276952,404.0,10
276953,404.0,10
276954,404.0,10
277052,404.0,10
277113,404.0,10
277116,404.0,10
277125,404.0,10
